NAME,ADDRESS,DISTRICT,Latitude,Longitude,FACILITY_TYPE
Aberdeen Ambulance Depot,"1 Nam Fung Road, Aberdeen, Hong Kong",SOUTHERN,22.25036991,114.173867,Ambulance Depot
Braemar Hill Ambulance Depot,"170 Tin Hau Temple Road, North Point, Hong Kong",EASTERN,22.28813421,114.2017064,Ambulance Depot
Castle Peak Bay Ambulance Depot,"6 Tuen Yee Street, Tuen Mun, New Territories",TUEN MUN,22.38298686,113.9695,Ambulance Depot
Chai Wan Ambulance  Depot,"401-404 Chin Hing Hse, Hing Wah Estate, Chai Wan, Hong Kong",EASTERN,22.26247927,114.2333305,Ambulance Depot
Cheung Sha Wan Ambulance Depot,"7 Fat Tseung Street, Cheung Sha Wan, Kowloon",SHAM SHUI PO,22.33568076,114.1548781,Ambulance Depot
Fanling Ambulance Depot,"2 Sha Tau Kok Road - Lung Yeuk Tau, Fanling, New Territories",NORTH,22.49392829,114.1399262,Ambulance Depot
Ho Man Tin Ambulance Depot,"88 Chung Hau Street, Ho Man Tin, Kowloon",KOWLOON CITY,22.31452355,114.1795822,Ambulance Depot
Hong Kong-Zhuhai-Macao Bridge Ambulance Depot,"10 Shun Ngon Road, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port, New Territories",ISLANDS,22.31414301,113.9560519,Ambulance Depot
Kowloon Tong Ambulance Depot,"3 Baptist University Road, Kowloon",KOWLOON CITY,22.33468878,114.1826306,Ambulance Depot
Kwun Tong Ambulance Depot,"426 Kwun Tong Road, Kwun Tong, Kowloon",KWUN TONG,22.31207787,114.2259549,Ambulance Depot
Kai Tak Ambulance Depot,"5 Cheung Yip Street, Kowloon",KWUN TONG,22.31643441,114.2112328,Ambulance Depot
Kwai Chung Ambulance Depot,"86 Hing Shing Road, Kwai Chung , New Territories",KWAI TSING,22.35986681,114.1249713,Ambulance Depot
Lai Chi Kok Ambulance Depot,"33 Mei Lai Road, Lai Chi Kok, Kowloon",SHAM SHUI PO,22.33763799,114.1413168,Ambulance Depot
Lam Tin Ambulance Depot,"30 Lei Yue Mun Road, Kowloon",KWUN TONG,22.30353158,114.2359576,Ambulance Depot
